Ligand_SMILES,Decoy_SMILES,Actividad,psmis
CN1CC[NH+](CC1)CCCN2c3ccccc3Sc4c2cc(cc4)Cl,c1cc2c(cc1Br)[nH+]c(n2c3cc(cc(c3)F)F)CCCl,0,F[R]
CN1CC[NH+](CC1)CCCN2c3ccccc3Sc4c2cc(cc4)Cl,c1cc2c(cc1Br)[nH+]c(n2c3cc(cc(c3)F)F)CCCl,0,Cl[R]
CN1CC[NH+](CC1)CCCN2c3ccccc3Sc4c2cc(cc4)Cl,c1cc2c(cc1Br)[nH+]c(n2c3cc(cc(c3)F)F)CCCl,0,[R]Br
CN1CC[NH+](CC1)CCCN2c3ccccc3Sc4c2cc(cc4)Cl,c1cc2c(cc1Br)[nH+]c(n2c3cc(cc(c3)F)F)CCCl,0,[Nar]
CN1CC[NH+](CC1)CCCN2c3ccccc3Sc4c2cc(cc4)Cl,c1cc2c(cc1Br)[nH+]c(n2c3cc(cc(c3)F)F)CCCl,0,[Nar]
CN1CC[NH+](CC1)CCCN2c3ccccc3Sc4c2cc(cc4)Cl,c1cc(c(cc1Br)F)Cn2c[nH+]c3c2cc(c(c3)F)F,0,F[R]
CN1CC[NH+](CC1)CCCN2c3ccccc3Sc4c2cc(cc4)Cl,c1cc(c(cc1Br)F)Cn2c[nH+]c3c2cc(c(c3)F)F,0,F[R]
CN1CC[NH+](CC1)CCCN2c3ccccc3Sc4c2cc(cc4)Cl,c1cc(c(cc1Br)F)Cn2c[nH+]c3c2cc(c(c3)F)F,0,[R]Br
CN1CC[NH+](CC1)CCCN2c3ccccc3Sc4c2cc(cc4)Cl,c1cc(c(cc1Br)F)Cn2c[nH+]c3c2cc(c(c3)F)F,0,F[R]
CN1CC[NH+](CC1)CCCN2c3ccccc3Sc4c2cc(cc4)Cl,c1cc(c(cc1Br)F)Cn2c[nH+]c3c2cc(c(c3)F)F,0,[Nar]
CN1CC[NH+](CC1)CCCN2c3ccccc3Sc4c2cc(cc4)Cl,c1cc(c(cc1Br)F)Cn2c[nH+]c3c2cc(c(c3)F)F,0,[Nar]
CC[C@]1(C(=O)NC(=O)N=C1[O-])c2ccccc2,Cc1ccc(s1)S(=O)(=O)[N-]c2cc[nH]n2,0,O=S(=O)([R])[N-][R]
CC[C@]1(C(=O)NC(=O)N=C1[O-])c2ccccc2,Cc1ccc(s1)S(=O)(=O)[N-]c2cc[nH]n2,0,[Sar]
